               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 139,            0.049513,            0.083472,                   0,             0.73763,             0.65263,             0.72835,             0.34389,            0.048991,            0.071384,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.049784,             0.08437,                   0,             0.72533,              0.6764,             0.74298,             0.35276,            0.048681,            0.070378,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.049656,            0.084359,                   0,             0.71353,             0.66893,             0.72372,             0.33971,             0.04937,            0.071274,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.050385,            0.084583,                   0,             0.73708,             0.66731,             0.72924,             0.34351,            0.049293,            0.070825,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.049423,            0.082363,                   0,             0.73805,             0.66418,             0.72367,             0.33875,            0.048934,             0.07096,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.049852,            0.082509,                   0,             0.74968,             0.65696,             0.73389,             0.34341,            0.048929,            0.071304,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.049463,            0.083013,                   0,             0.73282,             0.67606,             0.73175,             0.34952,             0.04857,            0.071055,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.050263,            0.084713,                   0,             0.73036,             0.64292,             0.70572,             0.33359,            0.049347,            0.071966,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.049599,            0.082749,                   0,             0.74375,             0.66427,             0.71515,             0.34154,            0.049376,            0.072104,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.049936,            0.082952,                   0,             0.73332,             0.67538,             0.71622,             0.34219,            0.048842,            0.072046,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.049333,            0.082844,                   0,             0.71516,             0.67523,             0.70812,              0.3372,            0.048867,            0.071708,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.049845,            0.081762,                   0,             0.72529,             0.66879,             0.72578,             0.33985,            0.049762,            0.071259,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.049277,            0.082623,                   0,             0.72833,             0.66791,             0.71562,             0.33907,            0.049052,            0.071934,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.049535,            0.082898,                   0,             0.73854,             0.66044,             0.72413,             0.34151,            0.048791,            0.070993,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.049182,            0.081306,                   0,             0.73739,             0.65883,              0.7185,             0.34676,            0.048782,            0.071747,                   0,            0.004984,            0.004984,            0.004984
                 154,             0.04936,            0.082915,                   0,             0.74881,             0.67233,              0.7316,             0.35291,            0.048327,            0.070894,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.049619,            0.080365,                   0,             0.72218,             0.66642,             0.71425,             0.34186,             0.04933,            0.071225,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.049042,            0.082241,                   0,             0.74186,             0.65967,             0.72504,             0.35374,            0.048392,             0.07112,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.048863,             0.08094,                   0,              0.7412,             0.65806,             0.72629,             0.34745,            0.048952,            0.071798,                   0,            0.004852,            0.004852,            0.004852
                 158,             0.04949,            0.082114,                   0,             0.73431,             0.67851,             0.73653,             0.35569,            0.049217,            0.071167,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.048925,            0.081879,                   0,             0.75787,             0.64041,             0.73111,             0.34783,            0.048666,            0.071847,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.049161,            0.083881,                   0,             0.73068,             0.67097,             0.73832,             0.35307,            0.048793,            0.071263,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.049415,            0.083402,                   0,             0.74025,             0.66078,             0.73198,             0.34657,            0.049407,              0.0714,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.049464,            0.081978,                   0,             0.73374,             0.67436,             0.70604,             0.33824,            0.049514,            0.071829,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.049984,            0.081999,                   0,             0.74687,             0.63599,             0.70812,             0.33784,            0.048909,            0.071998,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.048873,            0.081898,                   0,             0.72378,              0.6652,             0.71942,              0.3461,            0.048895,            0.071902,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.049655,             0.08489,                   0,             0.72295,             0.68137,             0.72246,             0.35422,            0.049303,            0.072389,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.048663,            0.080282,                   0,              0.7207,             0.65772,             0.72641,             0.34766,            0.048939,            0.071532,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.048993,            0.081466,                   0,             0.73794,             0.68079,              0.7373,             0.35614,            0.048551,            0.071145,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.048302,            0.080656,                   0,             0.73291,             0.67459,             0.73938,             0.35129,            0.049441,            0.070958,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.049306,            0.080525,                   0,             0.71558,              0.6798,             0.72262,              0.3426,             0.04914,            0.071837,                   0,            0.004456,            0.004456,            0.004456
                 170,            0.048549,            0.082126,                   0,             0.73277,             0.64924,             0.69691,             0.34091,            0.049587,            0.073298,                   0,            0.004423,            0.004423,            0.004423
                 171,            0.049646,            0.083478,                   0,             0.73148,              0.6586,             0.70365,             0.33605,            0.049529,            0.072796,                   0,             0.00439,             0.00439,             0.00439
                 172,            0.048801,            0.081715,                   0,             0.72041,             0.66056,             0.69693,             0.33256,             0.04944,            0.072879,                   0,            0.004357,            0.004357,            0.004357
